"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.914501530E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
4.934586950E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
4.954672360E-1,1.464695437E-3,-1.464695437E-3,-9.320789250E-4
4.974757780E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
4.994843200E-1,-1.731003635E-3,-1.464695437E-3,1.331541280E-4
5.014928610E-1,-1.731003635E-3,-1.464695437E-3,1.331541280E-4
5.035014030E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
5.055099450E-1,3.994623839E-4,-2.529928461E-3,1.331541280E-4
5.075184860E-1,3.994623839E-4,-1.464695437E-3,-1.997311832E-3
5.095270280E-1,-2.796236658E-3,6.657706108E-4,-9.320789250E-4
5.115355700E-1,1.464695437E-3,-1.464695437E-3,-9.320789250E-4
5.135441110E-1,-1.731003635E-3,-1.464695437E-3,-9.320789250E-4
5.155526530E-1,-1.731003635E-3,6.657706108E-4,-9.320789250E-4
5.175611950E-1,-2.796236658E-3,-1.464695437E-3,1.331541280E-4
5.195697360E-1,-6.657706108E-4,-3.994623839E-4,-1.997311832E-3
5.215783300E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
5.235869240E-1,3.994623839E-4,6.657706108E-4,1.331541280E-4
5.255955180E-1,3.994623839E-4,-1.464695437E-3,-9.320789250E-4
5.276041110E-1,-2.796236658E-3,-1.464695437E-3,-9.320789250E-4
5.296127050E-1,-2.796236658E-3,-3.994623839E-4,1.331541280E-4
5.316212990E-1,-1.731003635E-3,-1.464695437E-3,1.331541280E-4
5.336298930E-1,-1.731003635E-3,-3.994623839E-4,-9.320789250E-4
5.356384860E-1,-2.796236658E-3,-3.994623839E-4,1.331541280E-4
5.376470800E-1,-1.731003635E-3,-3.994623839E-4,-9.320789250E-4
5.396556740E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
5.416642680E-1,3.994623839E-4,-3.994623839E-4,-9.320789250E-4
5.436728610E-1,3.994623839E-4,-3.994623839E-4,-9.320789250E-4
5.456814550E-1,-2.796236658E-3,6.657706108E-4,1.331541280E-4
5.476900490E-1,-2.796236658E-3,6.657706108E-4,1.198387123E-3
5.496986430E-1,-1.731003635E-3,6.657706108E-4,-9.320789250E-4
5.517072360E-1,-1.731003635E-3,1.731003635E-3,1.331541280E-4
5.537158300E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
5.557244240E-1,-6.657706108E-4,1.731003635E-3,1.331541280E-4
5.577330180E-1,-6.657706108E-4,2.796236658E-3,1.331541280E-4
5.597416110E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
5.617502050E-1,-3.861469682E-3,-1.464695437E-3,-9.320789250E-4
5.637587990E-1,-6.657706108E-4,6.657706108E-4,1.331541280E-4
5.657673930E-1,-2.796236658E-3,-3.994623839E-4,-9.320789250E-4
5.677759860E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
5.697845800E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
5.717931740E-1,-3.861469682E-3,6.657706108E-4,1.331541280E-4
5.738017680E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
5.758103610E-1,1.464695437E-3,1.731003635E-3,-9.320789250E-4
5.778189550E-1,3.994623839E-4,1.731003635E-3,-9.320789250E-4
5.798275490E-1,3.994623839E-4,2.796236658E-3,1.331541280E-4
5.818361430E-1,1.464695437E-3,2.796236658E-3,1.331541280E-4
5.838447360E-1,-1.731003635E-3,-3.994623839E-4,-9.320789250E-4
5.858533300E-1,1.464695437E-3,6.657706108E-4,1.198387123E-3
5.878619240E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
5.898705180E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
5.918791110E-1,-3.861469682E-3,-1.464695437E-3,-9.320789250E-4
5.938877050E-1,3.994623839E-4,-1.464695437E-3,1.198387123E-3
5.958962990E-1,3.994623839E-4,-3.994623839E-4,1.331541280E-4
5.979048930E-1,-2.796236658E-3,-1.464695437E-3,1.198387123E-3
5.999134860E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
6.019220800E-1,-1.731003635E-3,-2.529928461E-3,1.331541280E-4
6.039306740E-1,-6.657706108E-4,-3.595161485E-3,1.331541280E-4
6.059392680E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
6.079478610E-1,-1.731003635E-3,-2.529928461E-3,-1.997311832E-3
6.099564550E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
6.119650490E-1,-1.731003635E-3,-2.529928461E-3,-9.320789250E-4
6.139736430E-1,-1.731003635E-3,-2.529928461E-3,1.331541280E-4
6.159822360E-1,-1.731003635E-3,-2.529928461E-3,-9.320789250E-4
6.179908300E-1,-1.731003635E-3,6.657706108E-4,-9.320789250E-4
6.199994240E-1,3.994623839E-4,-1.464695437E-3,-1.997311832E-3
6.220080180E-1,-2.796236658E-3,-3.994623839E-4,-9.320789250E-4
6.240166110E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
