"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"""
4.934586950E-1,1.412578970E-1,1.053448766E-1,9.814131737E0
4.954672360E-1,1.532289088E-1,1.029506698E-1,9.797372818E0
4.974757780E-1,1.340752989E-1,1.029506698E-1,9.804554939E0
4.994843200E-1,1.532289088E-1,1.077390760E-1,9.804554939E0
5.014928610E-1,1.532289088E-1,1.077390760E-1,9.818920135E0
5.035014030E-1,1.460463107E-1,1.101332754E-1,9.818920135E0
5.055099450E-1,1.436520964E-1,1.029506698E-1,9.806949615E0
5.075184860E-1,1.556231081E-1,1.053448766E-1,9.816526413E0
5.095270280E-1,1.460463107E-1,9.816227108E-2,9.823708534E0
5.115355700E-1,1.580173075E-1,1.077390760E-1,9.821314812E0
5.135441110E-1,1.580173075E-1,1.221042871E-1,9.833584785E0
5.155526530E-1,1.436520964E-1,9.816227108E-2,9.843161583E0
5.175611950E-1,1.412578970E-1,1.005564705E-1,9.840767860E0
5.195697360E-1,1.412578970E-1,1.077390760E-1,9.840767860E0
5.215783300E-1,1.556231081E-1,1.077390760E-1,9.843161583E0
5.235869240E-1,1.532289088E-1,9.816227108E-2,9.835979462E0
5.255955180E-1,1.436520964E-1,1.101332754E-1,9.855133057E0
5.276041110E-1,1.436520964E-1,1.053448766E-1,9.859921455E0
5.296127050E-1,1.436520964E-1,1.077390760E-1,9.862315178E0
5.316212990E-1,1.460463107E-1,1.197100878E-1,9.867103577E0
5.336298930E-1,1.460463107E-1,1.101332754E-1,9.867103577E0
5.356384860E-1,1.580173075E-1,1.244984865E-1,9.864709854E0
5.376470800E-1,1.532289088E-1,1.029506698E-1,9.893440247E0
5.396556740E-1,1.484405100E-1,1.197100878E-1,9.888651848E0
5.416642680E-1,1.412578970E-1,1.077390760E-1,9.888651848E0
5.436728610E-1,1.436520964E-1,1.316810995E-1,9.895833969E0
5.456814550E-1,1.412578970E-1,1.077390760E-1,9.900622368E0
5.476900490E-1,1.460463107E-1,1.244984865E-1,9.917382240E0
5.496986430E-1,1.436520964E-1,1.125274822E-1,9.924564362E0
5.517072360E-1,1.460463107E-1,9.097966552E-2,9.950901031E0
5.537158300E-1,1.556231081E-1,1.005564705E-1,9.953294754E0
5.557244240E-1,1.244984865E-1,1.149216816E-1,9.948506355E0
5.577330180E-1,1.316810995E-1,1.221042871E-1,9.948506355E0
5.597416110E-1,1.388636976E-1,1.173158810E-1,9.929352760E0
5.617502050E-1,1.388636976E-1,1.125274822E-1,9.943717957E0
5.637587990E-1,1.316810995E-1,1.197100878E-1,9.977236748E0
5.657673930E-1,1.388636976E-1,1.221042871E-1,9.984419823E0
5.677759860E-1,1.460463107E-1,1.197100878E-1,9.998785019E0
5.697845800E-1,1.484405100E-1,1.029506698E-1,1.000357342E1
5.717931740E-1,1.340752989E-1,1.077390760E-1,9.993996620E0
5.738017680E-1,1.412578970E-1,9.576806426E-2,9.948506355E0
5.758103610E-1,1.316810995E-1,1.029506698E-1,1.005385113E1
5.778189550E-1,1.340752989E-1,1.029506698E-1,1.002033234E1
5.798275490E-1,1.244984865E-1,9.816227108E-2,1.000357342E1
5.818361430E-1,1.268926859E-1,9.816227108E-2,9.914987564E0
5.838447360E-1,1.484405100E-1,1.053448766E-1,9.905410767E0
5.858533300E-1,1.436520964E-1,1.029506698E-1,9.972448349E0
5.878619240E-1,1.436520964E-1,1.125274822E-1,9.936535835E0
5.898705180E-1,1.388636976E-1,1.125274822E-1,9.953294754E0
5.918791110E-1,1.484405100E-1,9.097966552E-2,9.958083153E0
5.938877050E-1,1.436520964E-1,1.077390760E-1,9.934141159E0
5.958962990E-1,1.580173075E-1,1.053448766E-1,9.955689430E0
